State,Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Alabama,All Occupations,1857530.0,19.66,40890.0,14.83,30850.0
Alabama,Management Occupations,67500.0,51.48,107080.0,44.98,93550.0
Alabama,General and Operations Managers,26480.0,58.0,120640.0,49.0,101930.0
Alabama,Advertising and Promotions Managers,80.0,44.88,93350.0,38.92,80960.0
Alabama,Marketing Managers,610.0,61.28,127460.0,53.39,111040.0
Alabama,Sales Managers,2330.0,54.63,113620.0,48.92,101750.0
Alabama,Public Relations and Fundraising Managers,450.0,44.8,93180.0,40.26,83740.0
Alabama,Administrative Services Managers,780.0,48.65,101200.0,43.21,89870.0
Alabama,Computer and Information Systems Managers,3310.0,57.44,119480.0,55.28,114990.0
Alabama,Financial Managers,4080.0,57.68,119970.0,52.06,108280.0
Alabama,Industrial Production Managers,2700.0,45.62,94890.0,43.58,90640.0
Alabama,Purchasing Managers,870.0,52.25,108670.0,51.43,106980.0
Alabama,"Transportation, Storage, and Distribution Managers",690.0,43.13,89720.0,40.87,85000.0
Alabama,Compensation and Benefits Managers,110.0,48.5,100880.0,46.06,95800.0
Alabama,Human Resources Managers,1210.0,46.18,96060.0,43.5,90470.0
Alabama,Training and Development Managers,180.0,46.19,96080.0,43.9,91320.0
Alabama,Construction Managers,2450.0,42.81,89040.0,38.54,80170.0
Alabama,"Education Administrators, Preschool and Childcare Center/Program",170.0,23.57,49030.0,18.82,39140.0
Alabama,"Education Administrators, Postsecondary",2110.0,47.64,99090.0,40.47,84180.0
Alabama,"Education Administrators, All Other",540.0,40.88,85020.0,41.16,85600.0
Alabama,Architectural and Engineering Managers,2440.0,63.41,131900.0,59.81,124400.0
Alabama,Food Service Managers,2020.0,28.97,60250.0,26.51,55140.0
Alabama,Funeral Service Managers,340.0,27.16,56500.0,25.96,54000.0
Alabama,Lodging Managers,480.0,22.09,45950.0,21.27,44250.0
Alabama,Medical and Health Services Managers,2660.0,44.72,93020.0,41.3,85910.0
Alabama,Natural Sciences Managers,170.0,54.28,112910.0,50.32,104670.0
Alabama,Postmasters and Mail Superintendents,340.0,33.39,69440.0,33.83,70360.0
Alabama,"Property, Real Estate, and Community Association Managers",530.0,34.63,72030.0,31.2,64900.0
Alabama,Social and Community Service Managers,850.0,30.68,63810.0,29.03,60370.0
Alabama,Emergency Management Directors,170.0,32.28,67140.0,28.34,58950.0
Alabama,"Managers, All Other",2440.0,48.11,100070.0,46.12,95930.0
Alabama,Business and Financial Operations Occupations,67730.0,32.75,68130.0,29.89,62170.0
Alabama,"Agents and Business Managers of Artists, Performers, and Athletes",30.0,30.44,63320.0,21.36,44430.0
Alabama,"Buyers and Purchasing Agents, Farm Products",150.0,32.47,67530.0,31.94,66430.0
Alabama,"Wholesale and Retail Buyers, Except Farm Products",570.0,28.31,58880.0,24.43,50820.0
Alabama,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5720.0,31.1,64690.0,29.18,60690.0
Alabama,"Claims Adjusters, Examiners, and Investigators",3250.0,27.46,57110.0,28.14,58540.0
Alabama,"Insurance Appraisers, Auto Damage",250.0,30.79,64040.0,31.07,64620.0
Alabama,Compliance Officers,1530.0,30.57,63580.0,28.73,59750.0
Alabama,Cost Estimators,2070.0,28.21,58670.0,26.43,54970.0
Alabama,Human Resources Specialists,4670.0,27.87,57970.0,26.54,55210.0
Alabama,Labor Relations Specialists,1100.0,21.68,45100.0,13.78,28670.0
Alabama,Logisticians,3600.0,39.84,82870.0,39.62,82400.0
Alabama,Management Analysts,4690.0,44.86,93320.0,40.03,83260.0
Alabama,"Meeting, Convention, and Event Planners",500.0,22.63,47060.0,21.02,43710.0
Alabama,Fundraisers,640.0,24.74,51450.0,22.34,46460.0
Alabama,"Compensation, Benefits, and Job Analysis Specialists",470.0,27.8,57830.0,26.06,54210.0
Alabama,Training and Development Specialists,2570.0,27.65,57500.0,26.45,55010.0
Alabama,Market Research Analysts and Marketing Specialists,2610.0,28.93,60180.0,26.04,54170.0
Alabama,"Business Operations Specialists, All Other",6660.0,37.89,78820.0,35.88,74640.0
Alabama,Accountants and Auditors,14090.0,31.71,65960.0,29.37,61080.0
Alabama,Appraisers and Assessors of Real Estate,800.0,25.2,52410.0,22.65,47110.0
Alabama,Budget Analysts,1160.0,33.98,70690.0,32.1,66770.0
Alabama,Credit Analysts,530.0,24.48,50920.0,21.16,44010.0
Alabama,Financial Analysts,1310.0,41.15,85590.0,32.75,68130.0
Alabama,Personal Financial Advisors,1570.0,52.5,109190.0,41.09,85470.0
Alabama,Insurance Underwriters,550.0,26.0,54080.0,24.26,50460.0
Alabama,Credit Counselors,80.0,21.51,44730.0,19.4,40360.0
Alabama,Loan Officers,3770.0,32.01,66580.0,27.25,56680.0
Alabama,"Tax Examiners and Collectors, and Revenue Agents",1040.0,25.67,53390.0,23.92,49750.0
Alabama,Tax Preparers,390.0,15.57,32380.0,12.42,25840.0
Alabama,Computer and Mathematical Occupations,39420.0,36.7,76330.0,35.26,73340.0
Alabama,Computer and Information Research Scientists,380.0,48.81,101510.0,46.81,97360.0
Alabama,Computer Systems Analysts,6110.0,38.32,79700.0,37.51,78010.0
Alabama,Information Security Analysts,1270.0,39.56,82280.0,39.92,83030.0
Alabama,Computer Programmers,5550.0,39.06,81250.0,36.51,75930.0
Alabama,"Software Developers, Applications",3850.0,44.8,93170.0,43.64,90770.0
Alabama,"Software Developers, Systems Software",4520.0,47.29,98350.0,45.85,95370.0
Alabama,Web Developers,650.0,25.6,53250.0,23.46,48800.0
Alabama,Database Administrators,1590.0,34.98,72750.0,34.64,72050.0
Alabama,Network and Computer Systems Administrators,4570.0,33.43,69530.0,31.79,66120.0
Alabama,Computer Network Architects,760.0,43.45,90370.0,43.01,89470.0
Alabama,Computer User Support Specialists,6020.0,21.95,45660.0,20.7,43060.0
Alabama,Computer Network Support Specialists,1230.0,26.24,54570.0,25.61,53260.0
Alabama,"Computer Occupations, All Other",1600.0,40.82,84900.0,40.38,83980.0
Alabama,Actuaries,60.0,43.18,89820.0,35.23,73270.0
Alabama,Operations Research Analysts,990.0,43.55,90590.0,42.73,88870.0
Alabama,Statisticians,250.0,26.95,56060.0,24.76,51490.0
Alabama,Architecture and Engineering Occupations,40680.0,39.75,82670.0,37.96,78970.0
Alabama,"Architects, Except Landscape and Naval",970.0,37.48,77970.0,34.71,72200.0
Alabama,Landscape Architects,60.0,33.22,69090.0,31.07,64620.0
Alabama,Cartographers and Photogrammetrists,160.0,29.98,62370.0,28.9,60120.0
Alabama,Surveyors,640.0,25.6,53240.0,22.81,47440.0
Alabama,Aerospace Engineers,3550.0,51.08,106240.0,52.11,108390.0
Alabama,Biomedical Engineers,80.0,39.65,82460.0,40.45,84140.0
Alabama,Chemical Engineers,610.0,45.61,94880.0,45.91,95500.0
Alabama,Civil Engineers,3310.0,35.08,72970.0,32.78,68190.0
Alabama,Computer Hardware Engineers,1300.0,50.68,105410.0,51.62,107370.0
Alabama,Electrical Engineers,5190.0,44.8,93180.0,43.47,90420.0
Alabama,"Electronics Engineers, Except Computer",1920.0,47.96,99750.0,45.78,95230.0
Alabama,Environmental Engineers,730.0,36.25,75400.0,34.5,71760.0
Alabama,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",500.0,44.39,92330.0,44.67,92910.0
Alabama,Industrial Engineers,4250.0,40.36,83940.0,38.87,80840.0
Alabama,Marine Engineers and Naval Architects,120.0,27.91,58050.0,27.0,56160.0
Alabama,Materials Engineers,480.0,47.72,99250.0,48.97,101850.0
Alabama,Mechanical Engineers,3270.0,40.49,84210.0,40.04,83290.0
Alabama,"Mining and Geological Engineers, Including Mining Safety Engineers",150.0,42.99,89410.0,42.36,88110.0
Alabama,Petroleum Engineers,80.0,63.79,132680.0,55.39,115220.0
Alabama,"Engineers, All Other",3780.0,53.04,110330.0,52.5,109200.0
Alabama,Architectural and Civil Drafters,1000.0,23.77,49430.0,23.69,49280.0
Alabama,Electrical and Electronics Drafters,510.0,30.37,63180.0,29.63,61620.0
Alabama,Mechanical Drafters,780.0,26.09,54260.0,23.01,47850.0
Alabama,"Drafters, All Other",200.0,20.26,42130.0,18.83,39170.0
Alabama,Aerospace Engineering and Operations Technicians,190.0,28.26,58790.0,27.93,58100.0
Alabama,Civil Engineering Technicians,1080.0,17.12,35620.0,14.97,31150.0
Alabama,Electrical and Electronics Engineering Technicians,2070.0,28.58,59450.0,28.55,59380.0
Alabama,Electro-Mechanical Technicians,70.0,25.51,53060.0,23.2,48250.0
Alabama,Environmental Engineering Technicians,390.0,24.92,51840.0,24.58,51130.0
Alabama,Industrial Engineering Technicians,800.0,26.54,55190.0,25.56,53170.0
Alabama,Mechanical Engineering Technicians,630.0,25.31,52640.0,23.84,49580.0
Alabama,"Engineering Technicians, Except Drafters, All Other",770.0,30.18,62770.0,29.57,61510.0
Alabama,Surveying and Mapping Technicians,810.0,18.55,38580.0,17.17,35720.0
Alabama,"Life, Physical, and Social Science Occupations",8920.0,28.69,59680.0,24.69,51360.0
Alabama,Soil and Plant Scientists,80.0,28.53,59350.0,26.69,55510.0
Alabama,Microbiologists,140.0,34.18,71100.0,28.91,60130.0
Alabama,Zoologists and Wildlife Biologists,90.0,28.54,59370.0,28.21,58670.0
Alabama,"Biological Scientists, All Other",170.0,31.46,65430.0,32.53,67650.0
Alabama,Conservation Scientists,130.0,33.76,70220.0,34.52,71810.0
Alabama,Foresters,210.0,27.49,57170.0,25.91,53890.0
Alabama,Epidemiologists,40.0,28.43,59140.0,29.63,61630.0
Alabama,"Medical Scientists, Except Epidemiologists",530.0,23.88,49670.0,22.58,46970.0
Alabama,"Life Scientists, All Other",50.0,38.26,79580.0,32.72,68050.0
Alabama,Physicists,170.0,58.39,121460.0,52.49,109180.0
Alabama,Atmospheric and Space Scientists,120.0,38.05,79140.0,36.75,76440.0
Alabama,Chemists,690.0,36.05,74980.0,33.69,70080.0
Alabama,"Environmental Scientists and Specialists, Including Health",920.0,28.53,59340.0,26.22,54530.0
Alabama,"Geoscientists, Except Hydrologists and Geographers",260.0,34.75,72280.0,31.34,65190.0
Alabama,Economists,30.0,45.31,94240.0,35.64,74130.0
Alabama,"Clinical, Counseling, and School Psychologists",660.0,41.08,85440.0,27.67,57560.0
Alabama,"Psychologists, All Other",120.0,42.1,87570.0,44.42,92390.0
Alabama,Urban and Regional Planners,340.0,28.29,58840.0,28.21,58680.0
Alabama,Anthropologists and Archeologists,70.0,21.58,44890.0,20.52,42690.0
Alabama,Historians,60.0,28.8,59900.0,24.68,51340.0
Alabama,"Social Scientists and Related Workers, All Other",210.0,39.12,81370.0,36.24,75380.0
Alabama,Agricultural and Food Science Technicians,120.0,21.0,43670.0,20.91,43490.0
Alabama,Biological Technicians,820.0,18.1,37640.0,17.61,36620.0
Alabama,Chemical Technicians,870.0,22.51,46830.0,21.84,45440.0
Alabama,Geological and Petroleum Technicians,50.0,28.76,59820.0,28.3,58870.0
Alabama,Nuclear Technicians,110.0,28.8,59910.0,32.07,66700.0
Alabama,"Environmental Science and Protection Technicians, Including Health",580.0,22.32,46430.0,21.31,44330.0
Alabama,Forensic Science Technicians,90.0,27.2,56580.0,21.26,44230.0
Alabama,Forest and Conservation Technicians,210.0,20.28,42190.0,20.53,42700.0
Alabama,"Life, Physical, and Social Science Technicians, All Other",590.0,18.91,39320.0,17.14,35650.0
Alabama,Community and Social Service Occupations,16970.0,19.92,41440.0,18.81,39120.0
