State,Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Alabama,All Occupations,1844080.0,19.35,40240.0,14.61,30390.0
Alabama,Management Occupations,66820.0,50.77,105600.0,44.53,92610.0
Alabama,Chief Executives,1300.0,88.34,183750.0,83.98,174690.0
Alabama,General and Operations Managers,26490.0,57.62,119850.0,49.06,102050.0
Alabama,Advertising and Promotions Managers,100.0,36.4,75710.0,34.73,72230.0
Alabama,Marketing Managers,550.0,53.52,111320.0,50.27,104560.0
Alabama,Sales Managers,2180.0,53.8,111910.0,47.99,99830.0
Alabama,Public Relations and Fundraising Managers,490.0,42.83,89080.0,38.96,81040.0
Alabama,Administrative Services Managers,810.0,45.41,94450.0,41.67,86670.0
Alabama,Computer and Information Systems Managers,3230.0,57.29,119170.0,55.22,114860.0
Alabama,Financial Managers,3910.0,55.82,116110.0,50.98,106030.0
Alabama,Industrial Production Managers,2690.0,44.95,93500.0,42.86,89150.0
Alabama,Purchasing Managers,940.0,50.14,104300.0,49.15,102220.0
Alabama,"Transportation, Storage, and Distribution Managers",800.0,41.39,86090.0,39.65,82470.0
Alabama,Compensation and Benefits Managers,100.0,41.93,87210.0,42.41,88200.0
Alabama,Human Resources Managers,1120.0,45.02,93630.0,42.46,88310.0
Alabama,Training and Development Managers,140.0,42.13,87630.0,41.93,87210.0
Alabama,Construction Managers,2210.0,43.12,89680.0,39.32,81780.0
Alabama,"Education Administrators, Preschool and Childcare Center/Program",230.0,29.47,61290.0,29.57,61510.0
Alabama,"Education Administrators, Postsecondary",2190.0,45.69,95040.0,38.98,81080.0
Alabama,"Education Administrators, All Other",560.0,39.36,81870.0,39.71,82590.0
Alabama,Architectural and Engineering Managers,2620.0,60.3,125430.0,57.72,120060.0
Alabama,Food Service Managers,1890.0,28.76,59820.0,25.98,54040.0
Alabama,Funeral Service Managers,370.0,25.58,53210.0,22.33,46440.0
Alabama,Lodging Managers,480.0,22.82,47450.0,22.07,45900.0
Alabama,Medical and Health Services Managers,2360.0,45.07,93750.0,41.62,86570.0
Alabama,Natural Sciences Managers,210.0,54.64,113650.0,49.82,103630.0
Alabama,Postmasters and Mail Superintendents,340.0,33.06,68750.0,33.49,69650.0
Alabama,"Property, Real Estate, and Community Association Managers",500.0,32.4,67390.0,29.53,61430.0
Alabama,Social and Community Service Managers,830.0,29.54,61440.0,28.89,60100.0
Alabama,Emergency Management Directors,150.0,32.68,67970.0,28.49,59260.0
Alabama,"Managers, All Other",2480.0,45.65,94950.0,44.21,91960.0
Alabama,Business and Financial Operations Occupations,65500.0,32.16,66890.0,29.57,61500.0
Alabama,"Agents and Business Managers of Artists, Performers, and Athletes",40.0,37.35,77690.0,22.24,46250.0
Alabama,"Buyers and Purchasing Agents, Farm Products",170.0,30.53,63490.0,29.94,62280.0
Alabama,"Wholesale and Retail Buyers, Except Farm Products",660.0,26.78,55700.0,21.79,45320.0
Alabama,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5720.0,30.75,63950.0,28.72,59730.0
