State,Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Alabama,All Occupations,1912990.0,20.44,42510.0,15.43,32100.0
Alabama,Management Occupations,70090.0,52.98,110210.0,46.09,95870.0
Alabama,Chief Executives,1030.0,100.63,209300.0,94.59,196750.0
Alabama,General and Operations Managers,26930.0,58.86,122420.0,49.53,103030.0
Alabama,Marketing Managers,530.0,69.03,143590.0,57.82,120270.0
Alabama,Sales Managers,2510.0,58.71,122120.0,52.51,109210.0
Alabama,Public Relations and Fundraising Managers,400.0,45.27,94150.0,39.61,82380.0
Alabama,Administrative Services Managers,640.0,46.99,97730.0,42.37,88120.0
Alabama,Computer and Information Systems Managers,3260.0,56.71,117950.0,53.75,111800.0
Alabama,Financial Managers,4990.0,61.26,127420.0,54.97,114350.0
Alabama,Industrial Production Managers,3110.0,47.34,98460.0,44.85,93280.0
Alabama,Purchasing Managers,950.0,52.4,108990.0,52.08,108330.0
Alabama,"Transportation, Storage, and Distribution Managers",610.0,45.52,94670.0,42.98,89390.0
Alabama,Compensation and Benefits Managers,90.0,60.27,125350.0,53.79,111890.0
Alabama,Human Resources Managers,1320.0,48.14,100130.0,45.21,94040.0
Alabama,Training and Development Managers,150.0,58.93,122570.0,50.47,104980.0
Alabama,Construction Managers,3010.0,42.62,88660.0,39.56,82290.0
Alabama,"Education Administrators, Preschool and Childcare Center/Program",120.0,22.05,45870.0,17.51,36430.0
Alabama,"Education Administrators, Postsecondary",2460.0,50.27,104560.0,42.11,87580.0
Alabama,"Education Administrators, All Other",560.0,43.39,90250.0,44.52,92590.0
Alabama,Architectural and Engineering Managers,2410.0,67.2,139770.0,63.55,132180.0
Alabama,Food Service Managers,2250.0,30.94,64350.0,29.04,60410.0
Alabama,Funeral Service Managers,280.0,30.86,64180.0,28.47,59220.0
Alabama,Lodging Managers,520.0,23.08,48000.0,21.53,44780.0
Alabama,Medical and Health Services Managers,2960.0,48.2,100260.0,42.66,88730.0
Alabama,Natural Sciences Managers,140.0,50.64,105330.0,48.71,101320.0
Alabama,Postmasters and Mail Superintendents,280.0,35.89,74640.0,35.42,73660.0
Alabama,"Property, Real Estate, and Community Association Managers",440.0,36.78,76510.0,32.59,67780.0
Alabama,Social and Community Service Managers,1190.0,32.53,67670.0,29.37,61090.0
Alabama,Emergency Management Directors,180.0,31.61,65750.0,27.89,58000.0
Alabama,"Managers, All Other",2010.0,48.67,101240.0,47.37,98520.0
Alabama,Business and Financial Operations Occupations,72290.0,33.6,69890.0,30.39,63200.0
Alabama,"Buyers and Purchasing Agents, Farm Products",250.0,29.83,62050.0,28.65,59590.0
Alabama,"Wholesale and Retail Buyers, Except Farm Products",310.0,25.65,53350.0,24.85,51680.0
Alabama,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",6240.0,31.56,65640.0,29.67,61720.0
Alabama,"Claims Adjusters, Examiners, and Investigators",3730.0,29.33,61010.0,29.41,61170.0
Alabama,Compliance Officers,1400.0,32.26,67100.0,30.97,64430.0
Alabama,Cost Estimators,2180.0,29.58,61530.0,28.3,58860.0
Alabama,Human Resources Specialists,5310.0,27.77,57770.0,26.23,54550.0
Alabama,Labor Relations Specialists,940.0,22.61,47030.0,12.64,26290.0
Alabama,Logisticians,3460.0,42.24,87870.0,42.25,87890.0
Alabama,Management Analysts,4590.0,44.92,93430.0,38.62,80340.0
Alabama,"Meeting, Convention, and Event Planners",400.0,22.26,46300.0,19.94,41470.0
Alabama,Fundraisers,680.0,24.6,51180.0,23.13,48120.0
Alabama,"Compensation, Benefits, and Job Analysis Specialists",590.0,29.84,62080.0,28.15,58540.0
Alabama,Training and Development Specialists,2670.0,27.49,57170.0,26.25,54590.0
Alabama,Market Research Analysts and Marketing Specialists,3110.0,28.81,59920.0,26.12,54330.0
Alabama,"Business Operations Specialists, All Other",6870.0,38.64,80360.0,37.02,77010.0
Alabama,Accountants and Auditors,15360.0,32.57,67750.0,29.75,61890.0
Alabama,Appraisers and Assessors of Real Estate,710.0,25.02,52040.0,22.06,45890.0
Alabama,Budget Analysts,860.0,37.43,77860.0,36.48,75880.0
Alabama,Credit Analysts,490.0,31.34,65190.0,28.38,59020.0
Alabama,Financial Analysts,1420.0,39.68,82530.0,35.26,73330.0
Alabama,Personal Financial Advisors,2060.0,60.4,125640.0,41.42,86160.0
Alabama,Insurance Underwriters,960.0,27.83,57880.0,26.0,54070.0
Alabama,Financial Examiners,1030.0,31.41,65320.0,29.09,60520.0
Alabama,Credit Counselors,80.0,25.01,52010.0,18.06,37560.0
Alabama,Loan Officers,3740.0,32.06,66680.0,27.04,56240.0
Alabama,"Tax Examiners and Collectors, and Revenue Agents",1110.0,25.87,53800.0,24.67,51320.0
Alabama,Tax Preparers,590.0,16.15,33580.0,13.71,28520.0
Alabama,"Financial Specialists, All Other",740.0,34.92,72640.0,34.38,71520.0
Alabama,Computer and Mathematical Occupations,38600.0,38.02,79090.0,36.36,75630.0
Alabama,Computer and Information Research Scientists,310.0,51.26,106610.0,48.59,101060.0
Alabama,Computer Systems Analysts,4020.0,38.57,80230.0,37.46,77920.0
Alabama,Information Security Analysts,970.0,41.84,87030.0,40.98,85230.0
Alabama,Computer Programmers,6590.0,40.12,83450.0,38.7,80500.0
Alabama,"Software Developers, Applications",5500.0,44.87,93340.0,43.48,90430.0
Alabama,"Software Developers, Systems Software",4000.0,48.16,100170.0,45.8,95270.0
Alabama,Web Developers,550.0,28.26,58770.0,26.86,55860.0
Alabama,Database Administrators,1600.0,38.2,79460.0,37.39,77780.0
Alabama,Network and Computer Systems Administrators,4410.0,34.51,71790.0,32.82,68270.0
Alabama,Computer Network Architects,850.0,47.49,98780.0,47.55,98900.0
Alabama,Computer User Support Specialists,5980.0,22.53,46870.0,21.34,44380.0
Alabama,Computer Network Support Specialists,1050.0,29.46,61280.0,28.81,59910.0
Alabama,"Computer Occupations, All Other",1800.0,41.67,86670.0,40.99,85250.0
Alabama,Actuaries,60.0,41.21,85710.0,36.2,75310.0
Alabama,Operations Research Analysts,720.0,46.67,97080.0,46.46,96640.0
Alabama,Statisticians,170.0,30.53,63500.0,28.9,60120.0
Alabama,Architecture and Engineering Occupations,42800.0,41.73,86800.0,39.29,81730.0
Alabama,"Architects, Except Landscape and Naval",1110.0,41.88,87120.0,37.86,78740.0
Alabama,Landscape Architects,40.0,31.74,66020.0,29.16,60640.0
Alabama,Cartographers and Photogrammetrists,170.0,28.83,59960.0,28.11,58460.0
Alabama,Surveyors,570.0,26.2,54500.0,25.26,52540.0
Alabama,Aerospace Engineers,4470.0,55.56,115550.0,54.08,112490.0
Alabama,Chemical Engineers,510.0,51.54,107200.0,50.23,104490.0
Alabama,Civil Engineers,3970.0,37.55,78100.0,34.24,71220.0
Alabama,Computer Hardware Engineers,1460.0,52.91,110050.0,53.48,111230.0
Alabama,Electrical Engineers,4330.0,46.62,96960.0,45.16,93940.0
Alabama,"Electronics Engineers, Except Computer",2250.0,50.66,105370.0,49.6,103160.0
Alabama,Environmental Engineers,760.0,39.7,82580.0,37.0,76950.0
Alabama,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",410.0,46.89,97530.0,46.35,96400.0
Alabama,Industrial Engineers,4930.0,41.32,85940.0,38.31,79680.0
Alabama,Materials Engineers,540.0,48.76,101430.0,48.07,99980.0
Alabama,Mechanical Engineers,3460.0,42.6,88600.0,40.91,85090.0
Alabama,"Mining and Geological Engineers, Including Mining Safety Engineers",180.0,40.68,84610.0,39.34,81820.0
Alabama,Nuclear Engineers,200.0,59.72,124220.0,55.69,115840.0
Alabama,Petroleum Engineers,130.0,66.25,137810.0,59.29,123330.0
Alabama,"Engineers, All Other",3440.0,55.37,115160.0,53.72,111740.0
Alabama,Architectural and Civil Drafters,1100.0,24.37,50690.0,23.62,49140.0
Alabama,Electrical and Electronics Drafters,310.0,27.11,56390.0,25.36,52740.0
Alabama,Mechanical Drafters,590.0,28.34,58940.0,25.75,53560.0
Alabama,"Drafters, All Other",180.0,21.07,43820.0,19.85,41280.0
Alabama,Aerospace Engineering and Operations Technicians,190.0,29.99,62370.0,28.97,60260.0
Alabama,Civil Engineering Technicians,1600.0,18.32,38110.0,16.44,34200.0
Alabama,Electrical and Electronics Engineering Technicians,2020.0,29.47,61310.0,29.43,61220.0
Alabama,Electro-Mechanical Technicians,110.0,24.81,51600.0,25.69,53420.0
Alabama,Environmental Engineering Technicians,210.0,26.8,55750.0,22.79,47400.0
Alabama,Industrial Engineering Technicians,1130.0,28.48,59240.0,27.87,57960.0
Alabama,Mechanical Engineering Technicians,710.0,26.74,55610.0,25.73,53510.0
Alabama,"Engineering Technicians, Except Drafters, All Other",830.0,29.73,61840.0,29.19,60720.0
Alabama,Surveying and Mapping Technicians,700.0,19.93,41460.0,18.26,37970.0
Alabama,"Life, Physical, and Social Science Occupations",8600.0,31.94,66450.0,27.32,56820.0
Alabama,Soil and Plant Scientists,40.0,33.36,69390.0,29.43,61220.0
Alabama,Biochemists and Biophysicists,30.0,34.04,70800.0,29.86,62100.0
Alabama,Microbiologists,110.0,27.51,57220.0,24.89,51770.0
Alabama,Zoologists and Wildlife Biologists,80.0,26.47,55060.0,25.72,53500.0
Alabama,"Biological Scientists, All Other",220.0,30.98,64450.0,32.29,67150.0
Alabama,Conservation Scientists,110.0,34.22,71180.0,35.13,73060.0
Alabama,Epidemiologists,40.0,29.6,61570.0,29.99,62390.0
Alabama,"Medical Scientists, Except Epidemiologists",190.0,42.87,89160.0,25.31,52650.0
Alabama,"Life Scientists, All Other",90.0,45.27,94170.0,44.83,93250.0
Alabama,Physicists,190.0,61.33,127560.0,55.37,115170.0
Alabama,Chemists,650.0,39.06,81250.0,36.37,75640.0
Alabama,Materials Scientists,80.0,44.66,92890.0,42.56,88520.0
Alabama,"Environmental Scientists and Specialists, Including Health",880.0,29.3,60940.0,26.37,54840.0
Alabama,"Geoscientists, Except Hydrologists and Geographers",280.0,34.83,72450.0,32.07,66710.0
Alabama,"Physical Scientists, All Other",80.0,51.95,108050.0,51.42,106960.0
Alabama,Economists,30.0,48.36,100590.0,49.57,103110.0
Alabama,"Clinical, Counseling, and School Psychologists",560.0,34.09,70910.0,28.29,58840.0
Alabama,"Psychologists, All Other",130.0,44.26,92050.0,46.02,95710.0
Alabama,Urban and Regional Planners,360.0,27.72,57660.0,26.87,55900.0
Alabama,Anthropologists and Archeologists,80.0,24.63,51230.0,23.86,49630.0
Alabama,Historians,40.0,29.89,62180.0,27.14,56440.0
Alabama,Agricultural and Food Science Technicians,100.0,23.16,48180.0,22.01,45780.0
